BCU_Code|BCU_Name|Major_Crime_Category|Minor_Crime_Category|Number_of_Records|Borough|Sum_Value|Type|Month|Year
AS|Central South Command Unit|Theft|Bicycle Theft|1|Southwark|155|Offences|7|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|129|Offences|7|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|237|Offences|7|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|162|Offences|7|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Redbridge|32|Offences|7|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Havering|23|Offences|7|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Barking and Dagenham|41|Offences|7|2010
NA|North Area Command Unit|Theft|Bicycle Theft|1|Enfield|19|Offences|7|2010
NA|North Area Command Unit|Theft|Bicycle Theft|1|Haringey|85|Offences|7|2010
NE|North East Command Unit|Theft|Bicycle Theft|1|Waltham Forest|56|Offences|7|2010
NE|North East Command Unit|Theft|Bicycle Theft|1|Newham|88|Offences|7|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|29|Offences|7|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|48|Offences|7|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|37|Offences|7|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Bromley|24|Offences|7|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Croydon|44|Offences|7|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Sutton|24|Offences|7|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|52|Offences|7|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|37|Offences|7|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|14|Offences|7|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Richmond upon Thames|80|Offences|7|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Kingston upon Thames|65|Offences|7|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Merton|52|Offences|7|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Wandsworth|168|Offences|7|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Heathrow Airport|1|Offences|7|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hounslow|97|Offences|7|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Ealing|96|Offences|7|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hillingdon|25|Offences|7|2010
CE|Central East Command Unit|Theft|Bicycle Theft|1|Hackney|2|Sanction Detections|7|2010
CE|Central East Command Unit|Theft|Bicycle Theft|1|Tower Hamlets|1|Sanction Detections|7|2010
CN|Central North Command Unit|Theft|Bicycle Theft|1|Camden|2|Sanction Detections|7|2010
CN|Central North Command Unit|Theft|Bicycle Theft|1|Islington|1|Sanction Detections|7|2010
